sn,symbol,ltp,point change,change,open,high,low,volume,close
136,MKCL,347.90,31.60,9.99,322.60,347.90,322.60,"2,449.00",316.30
137,MKHC,260.00,17.00,7.00,238.50,267.30,238.40,"124,470.00",243.00
138,MKHL,326.60,29.60,9.97,302.90,326.70,300.00,"110,344.00",297.00
139,MKJC,413.50,37.50,9.97,383.00,413.60,383.00,"20,442.00",376.00
140,MKLB,651.00,-27.00,-3.98,664.50,670.00,643.90,768.00,678.00
141,MLBBL,825.00,-24.00,-2.83,833.00,846.90,799.60,"1,889.00",849.00
142,MLBL,330.30,-10.70,-3.14,335.10,344.00,330.20,"76,099.00",341.00
143,MLBS,735.20,-15.00,-2.00,750.00,750.10,735.20,935.00,750.20
144,MLBSL,"1,879.00",-21.00,-1.11,"1,900.10","1,960.00","1,820.00","1,002.00","1,900.00"
145,MMF1,7.51,-0.47,-5.89,7.83,7.83,7.36,"35,655.00",7.98
146,MMFDB,595.00,-20.00,-3.25,615.00,616.00,594.00,"4,087.00",615.00
147,MMKJL,355.00,27.00,8.23,333.00,360.80,331.70,"66,828.00",328.00
148,MPFL,326.90,-2.10,-0.64,323.50,342.00,318.00,"48,460.00",329.00
149,MSHL,579.00,-8.00,-1.36,598.70,645.70,534.00,"37,227.00",587.00
150,MSLB,846.10,-30.90,-3.52,861.00,861.00,845.00,923.00,877.00
151,NABBC,376.20,-5.80,-1.52,381.00,385.00,376.00,"2,572.00",382.00
152,NABIL,515.00,-8.00,-1.53,523.00,527.00,515.00,"85,406.00",523.00
153,NADEP,539.00,-4.90,-0.90,554.60,559.00,538.00,"4,998.00",543.90
154,NBF2,8.25,-0.12,-1.43,8.21,8.30,8.21,"9,992.00",8.37
155,NBF3,7.41,-0.17,-2.24,7.58,7.58,7.31,"56,402.00",7.58
156,NBL,242.50,-3.20,-1.30,245.00,250.60,242.50,"83,538.00",245.70
157,NBLD82,973.50,8.50,0.88,973.50,973.50,973.50,25.00,965.00
158,NBLD85,880.00,-12.50,-1.40,880.00,880.00,880.00,10.00,892.50
159,NBLD87,863.00,3.00,0.35,854.00,863.00,854.00,404.00,860.00
160,NCCD86,"1,020.00",70.00,7.37,"1,062.40","1,062.40","1,020.00","20,010.00",950.00
161,NESDO,"1,685.00",-27.00,-1.58,"1,685.00","1,713.00","1,680.00","2,709.00","1,712.00"
162,NFS,320.00,-4.00,-1.23,321.20,334.50,315.20,"24,277.00",324.00
163,NGPL,224.10,-2.90,-1.28,230.00,235.00,224.10,"136,029.00",227.00
164,NHDL,384.00,2.00,0.52,380.00,402.90,380.00,"41,760.00",382.00
165,NHPC,161.40,-3.60,-2.18,167.00,169.50,161.20,"194,740.00",165.00
166,NIBD2082,"1,025.50",-4.50,-0.44,"1,025.50","1,025.50","1,025.50",10.00,"1,030.00"
167,NIBD84,866.00,-11.00,-1.25,865.00,866.00,865.00,75.00,877.00
168,NIBLGF,8.19,0.03,0.37,8.15,8.48,8.15,"42,440.00",8.16
169,NIBLPF,9.33,0.17,1.86,9.34,9.34,9.06,"74,783.00",9.16
170,NIBSF2,7.29,-0.23,-3.06,7.37,7.81,7.26,"104,850.00",7.52
171,NICA,528.00,-4.00,-0.75,530.00,540.00,521.50,"75,142.00",532.00
172,NICAD8182,969.00,-15.90,-1.61,969.00,969.00,969.00,10.00,984.90
173,NICBF,8.81,0.31,3.65,8.67,8.81,8.54,"51,850.00",8.50
174,NICFC,8.44,-0.24,-2.76,8.51,8.85,8.19,"12,370.00",8.68
175,NICGF,9.54,0.54,6.00,9.18,9.54,9.17,"66,945.00",9.00
176,NICL,930.00,36.50,4.09,905.00,963.00,880.00,"192,588.00",893.50
177,NICLBSL,630.00,-19.00,-2.93,637.00,649.00,625.00,"11,964.00",649.00
178,NICSF,8.70,-0.20,-2.25,8.75,8.83,8.58,"26,985.00",8.90
179,NIFRA,213.10,-10.90,-4.87,224.00,225.00,213.00,"275,359.00",224.00
180,NIL,860.00,2.00,0.23,860.00,870.00,850.00,"38,367.00",858.00
181,NIMB,180.00,-4.00,-2.17,183.00,184.00,179.00,"121,487.00",184.00
182,NIMBPO,148.00,-4.00,-2.63,152.00,152.00,148.00,"36,366.00",152.00
183,NLBBL,590.10,-29.90,-4.82,608.10,632.00,584.00,"8,601.00",620.00
184,NLG,851.00,-3.00,-0.35,840.00,875.00,840.00,"20,043.00",854.00
185,NLIC,691.00,-16.00,-2.26,707.00,707.50,690.00,"58,378.00",707.00
186,NLICL,622.00,-7.00,-1.11,618.00,630.00,616.00,"26,177.00",629.00
187,NMB,209.10,0.20,0.10,209.00,214.00,209.00,"67,715.00",208.90
188,NMB50,9.30,0.07,0.76,9.34,9.35,8.71,"112,269.00",9.23
189,NMBD87/88,882.00,-17.60,-1.96,882.00,882.00,882.00,105.00,899.60
190,NMBMF,563.00,0.00,0.00,552.00,580.00,545.00,"5,013.00",563.00
191,NMFBS,"1,143.00",-7.00,-0.61,"1,170.00","1,170.00","1,125.00","4,135.00","1,150.00"
192,NRIC,703.00,0.00,0.00,705.00,773.30,696.00,"65,744.00",703.00
193,NRM,420.40,-46.70,-10.00,467.10,492.50,420.40,"274,134.00",467.10
194,NRN,422.00,-30.30,-6.70,461.30,486.90,416.00,"223,347.00",452.30
195,NSIF2,8.72,-0.10,-1.13,8.65,8.82,8.65,"3,000.00",8.82
196,NTC,955.00,14.90,1.58,958.90,"1,000.00",953.00,"135,461.00",940.10
197,NUBL,630.10,-12.90,-2.01,633.00,645.00,630.00,"20,814.00",643.00
198,NWCL,252.50,22.90,9.97,234.10,252.50,234.10,"1,461.00",229.60
199,NYADI,248.10,-6.90,-2.71,250.00,264.90,245.00,"8,121.00",255.00
200,OHL,843.00,17.00,2.06,835.00,860.00,820.00,"24,541.00",826.00
201,PBD85,847.00,-10.80,-1.26,847.00,847.00,847.00,25.00,857.80
202,PBD88,999.40,-0.20,-0.02,999.40,999.40,999.40,443.00,999.60
203,PBLD84,"1,020.00",20.40,2.04,999.00,"1,020.00",999.00,"31,051.00",999.60
204,PCBL,203.90,-4.00,-1.92,210.10,210.10,203.10,"123,000.00",207.90
205,PFL,354.50,-5.80,-1.61,365.00,365.00,350.00,"18,130.00",360.30
206,PHCL,305.00,8.00,2.69,292.00,323.90,292.00,"68,883.00",297.00
207,PMHPL,220.00,-4.00,-1.79,227.00,232.90,219.00,"40,463.00",224.00
208,PMLI,590.00,-11.80,-1.96,610.00,620.00,573.00,"66,610.00",601.80
209,PPCL,233.00,-1.80,-0.77,234.00,242.00,229.00,"25,035.00",234.80
210,PPL,270.60,5.60,2.11,270.30,275.00,261.20,"27,144.00",265.00
211,PRIN,828.50,9.50,1.16,803.10,854.00,803.10,"96,128.00",819.00
212,PROFL,313.20,-1.80,-0.57,313.00,324.90,313.00,"41,899.00",315.00
213,PRSF,8.87,0.29,3.38,8.41,8.87,8.41,"93,800.00",8.58
214,PRVU,165.30,-5.70,-3.33,170.40,172.90,165.30,"141,447.00",171.00
215,PSF,8.30,-0.40,-4.60,8.53,8.53,8.30,"68,925.00",8.70
216,RADHI,245.00,6.00,2.51,239.00,249.80,239.00,"148,036.00",239.00
217,RAWA,427.00,12.00,2.89,407.10,432.00,407.10,"14,471.00",415.00
218,RBCL,"15,480.00",209.60,1.37,"15,575.00","15,900.00","15,480.00",678.00,"15,270.40"
219,RBCLPO,"12,480.00",230.00,1.88,"12,005.00","13,033.00","12,005.00","1,150.00","12,250.00"
220,RFPL,253.00,8.20,3.35,244.00,264.10,240.10,"46,898.00",244.80
221,RHGCL,254.00,6.20,2.50,252.70,263.10,242.90,"61,904.00",247.80
222,RHPL,286.00,1.90,0.67,280.00,294.90,280.00,"75,537.00",284.10
223,RIDI,218.00,-6.00,-2.68,219.60,227.00,212.30,"62,633.00",224.00
224,RLFL,366.90,-3.10,-0.84,377.00,392.50,359.30,"51,605.00",370.00
225,RMF1,7.85,0.15,1.95,7.65,7.85,7.60,"12,300.00",7.70
226,RMF2,8.13,0.01,0.12,8.28,8.28,8.12,"2,400.00",8.12
227,RNLI,595.00,10.00,1.71,590.00,603.00,575.10,"285,552.00",585.00
228,RSDC,535.30,-7.70,-1.42,550.00,552.00,535.00,"7,342.00",543.00
229,RURU,737.00,-13.00,-1.73,750.00,765.00,737.00,"1,243.00",750.00
230,SABSL,618.00,-19.00,-2.98,626.00,626.00,601.10,"1,286.00",637.00
231,SADBL,307.00,-8.70,-2.76,309.50,318.00,307.00,"39,270.00",315.70
232,SAEF,10.00,0.30,3.09,9.89,10.00,9.54,"163,600.00",9.70
233,SAGF,8.20,-0.23,-2.73,8.27,8.27,8.17,"3,700.00",8.43
234,SAHAS,513.50,-6.40,-1.23,510.00,545.00,510.00,"102,660.00",519.90
235,SALICO,715.00,-7.00,-0.97,727.90,727.90,708.00,"13,227.00",722.00
236,SAMAJ,153.80,3.00,1.99,153.80,153.80,153.80,10.00,150.80
237,SANIMA,258.00,-7.70,-2.90,263.30,265.00,258.00,"65,527.00",265.70
238,SAPDBL,246.00,-7.00,-2.77,250.00,257.00,245.00,"14,008.00",253.00
239,SBCF,7.84,0.10,1.29,7.60,7.84,7.60,"11,689.00",7.74
240,SBD87,890.00,0.00,0.00,890.00,890.00,890.00,25.00,890.00
241,SBI,307.50,-4.50,-1.44,312.00,312.00,307.10,"20,530.00",312.00
242,SBID83,"1,000.00",-5.00,-0.50,"1,000.00","1,000.00","1,000.00",50.00,"1,005.00"
243,SBL,257.30,0.30,0.12,253.00,259.80,253.00,"56,225.00",257.00
244,SCB,518.80,-10.10,-1.91,530.00,530.00,518.70,"16,778.00",528.90
245,SDLBSL,605.00,-22.10,-3.52,638.00,639.50,605.00,"1,459.00",627.10
246,SEF,8.57,0.32,3.88,8.10,8.57,8.10,"183,600.00",8.25
247,SFCL,294.10,-11.70,-3.83,300.00,310.00,294.00,"63,016.00",305.80
248,SFEF,8.07,0.00,0.00,7.95,8.07,7.95,"4,800.00",8.07
249,SFMF,9.41,0.16,1.73,9.43,9.52,9.41,"41,770.00",9.25
250,SGHC,280.00,-5.50,-1.93,280.00,294.00,276.70,"22,062.00",285.50
251,SGIC,551.50,3.50,0.64,537.20,574.00,537.20,"137,334.00",548.00
252,SHEL,286.00,11.00,4.00,275.00,299.10,269.50,"34,082.00",275.00
253,SHINE,398.90,-12.10,-2.94,419.20,419.20,397.00,"117,674.00",411.00
254,SHIVM,570.00,-20.00,-3.39,590.00,612.00,569.00,"519,276.00",590.00
255,SHL,461.00,-7.80,-1.66,465.00,490.00,460.90,"265,774.00",468.80
256,SHLB,951.00,-35.00,-3.55,970.00,"1,005.70",951.00,"1,814.00",986.00
257,SHPC,360.00,3.00,0.84,350.00,372.00,350.00,"106,153.00",357.00
258,SICL,768.00,-5.00,-0.65,788.40,788.40,768.00,"15,370.00",773.00
259,SIFC,361.80,-8.20,-2.22,370.00,376.90,358.10,"27,554.00",370.00
260,SIGS2,8.00,-0.15,-1.84,7.99,8.30,7.86,"19,400.00",8.15
261,SIKLES,440.00,20.00,4.76,427.00,448.00,426.00,"16,992.00",420.00
262,SINDU,280.90,-6.10,-2.13,285.00,297.00,280.90,"21,889.00",287.00
263,SJCL,296.00,-21.00,-6.62,310.70,310.70,296.00,"53,803.00",317.00
264,SJLIC,637.70,57.90,9.99,579.80,637.70,561.30,"155,555.00",579.80
265,SKBBL,"1,010.00",16.00,1.61,"1,000.00","1,010.00",991.00,"31,983.00",994.00
266,SLBBL,675.00,20.40,3.12,650.10,675.00,650.10,"18,308.00",654.60
267,SLBSL,802.00,-3.00,-0.37,788.90,820.00,765.00,"1,656.00",805.00
268,SLCF,7.94,0.22,2.85,7.72,8.18,7.72,"83,650.00",7.72
269,SMATA,615.50,-16.60,-2.63,644.70,644.70,615.00,"2,784.00",632.10
270,SMB,"1,066.00",18.00,1.72,"1,049.00","1,087.20","1,042.00","1,188.00","1,048.00"
271,SMFBS,880.00,-5.30,-0.60,900.00,910.00,880.00,"2,509.00",885.30
272,SMH,622.00,19.00,3.15,600.00,641.90,600.00,"26,932.00",603.00
273,SMHL,449.50,0.00,0.00,441.00,470.00,432.20,"64,801.00",449.50
274,SMJC,335.10,12.10,3.75,319.00,347.00,318.00,"266,890.00",323.00
275,SNLI,585.00,10.00,1.74,575.00,612.00,565.90,"151,493.00",575.00
276,SONA,433.00,-28.00,-6.07,470.20,479.00,430.00,"618,652.00",461.00
277,SPC,467.50,42.50,10.00,433.00,467.50,433.00,"42,133.00",425.00
278,SPDL,227.50,5.40,2.43,225.00,242.30,218.10,"219,856.00",222.10
279,SPHL,460.20,41.50,9.91,420.10,460.50,420.10,"34,336.00",418.70
280,SPIL,760.00,-8.00,-1.04,753.00,779.90,753.00,"26,797.00",768.00
281,SPL,723.10,-9.90,-1.35,718.60,747.00,712.00,"4,117.00",733.00
282,SRBLD83,990.00,-20.00,-1.98,990.00,990.00,990.00,25.00,"1,010.00"
283,SRLI,481.00,2.00,0.42,479.00,503.90,477.10,"64,387.00",479.00
284,SSHL,164.00,-6.60,-3.87,173.90,178.10,163.00,"152,558.00",170.60
285,STC,"5,510.00",-190.00,-3.33,"5,814.00","5,814.00","5,506.00","7,221.00","5,700.00"
286,SWBBL,740.20,-14.80,-1.96,742.00,753.20,740.20,"18,011.00",755.00
287,SWMF,670.00,27.40,4.26,655.40,702.00,655.40,"10,590.00",642.60
288,TAMOR,304.40,-0.60,-0.20,304.90,313.30,300.10,"130,038.00",305.00
289,TPC,399.90,14.90,3.87,378.00,418.00,371.50,"16,237.00",385.00
290,TRH,892.10,-2.90,-0.32,902.00,979.20,892.00,"53,872.00",895.00
291,TSHL,474.00,-30.00,-5.95,494.20,511.70,474.00,"29,088.00",504.00
292,TVCL,373.00,24.00,6.88,355.90,373.00,336.20,"76,297.00",349.00
293,UAIL,604.00,-4.00,-0.66,600.50,620.00,587.00,"53,608.00",608.00
294,UHEWA,321.00,4.00,1.26,323.30,331.50,311.00,"12,918.00",317.00
